Abelmoschus esculentus	Piżmian jadalny
Aristolochia rotunda	Kokornak okrągłolistny
Aristolochia sempervirens	Aristolochia sempervirens
Aristolochia tomentosa	Kokornak owłosiony
Armeria alpina	Zawciąg alpejski
Armeria caespitosa	Zawciąg jałowcolistny
Armeria maritima	Zawciąg pospolity
Armoracia rusticana	Chrzan pospolity
Arnica montana	Arnika górska
Arnoseris minima	Chłodek drobny
Aronia melanocarpa	Aronia czarna
Arrhenatherum elatius	Rajgras wyniosły
Artemisia abrotanum	Bylica boże drzewko
Artemisia absinthium	Bylica piołun
Artemisia annua	Bylica roczna
Artemisia campestris	Bylica polna
Artemisia cina	Bylica cytwarowa
Artemisia dracunculus	Bylica draganek
Artemisia herba-alba	Artemisia herba-alba
Artemisia pontica	Bylica pontyjska
Artemisia umbelliformis subsp. eriantha	Bylica skalna
Artemisia vulgaris	Bylica pospolita
Arum cylindraceum	Obrazki alpejskie
Arum maculatum	Obrazki plamiste
Aruncus dioicus	Parzydło leśne
Arundo donax	Lasecznica trzcinowata
Asarum europaeum	Kopytnik pospolity
Asclepias syriaca	Trojeść amerykańska
Asparagus densiflorus	Szparag Sprengera
Asparagus falcatus	Szparag sierpowaty
Asparagus officinalis	Szparag lekarski
Asparagus setaceus	Szparag pierzasty
Asperugo procumbens	Lepczyca rozesłana
Asperula cynanchica	Marzanka pagórkowa
Asperula tinctoria	Marzanka barwierska
Asphodeline lutea	Złotnica żółta
Aspidistra elatior	Aspidistra wyniosła
Asplenium adiantum-nigrum	Zanokcica ciemna
Asplenium adulterinum	Zanokcica serpentynowa
Asplenium cuneifolium	Zanokcica klinowata
Asplenium nidus	Zanokcica gniazdowa
Asplenium onopteris	Zanokcica kończysta
Asplenium ruta-muraria	Zanokcica murowa
Asplenium septentrionale	Zanokcica północna
Asplenium trichomanes	Zanokcica skalna
Asplenium viride	Zanokcica zielona
Aster alpinus	Aster alpejski
Aster amellus	Aster gawędka
Aster dumosus	Aster krzaczasty
Aster tataricus	Aster tatarski
Astragalus arenarius	Traganek piaskowy
Astragalus australis	Traganek jasny
Astragalus cicer	Traganek pęcherzykowaty
Astragalus danicus	Traganek duński
Astragalus frigidus	Traganek wytrzymały
Astragalus glycyphyllos	Traganek szerokolistny
Astragalus onobrychis	Traganek długokwiatowy
Astragalus penduliflorus	Traganek zwisłokwiatowy
Astrantia major	Jarzmianka większa
Athyrium alpestre	Wietlica alpejska
Athyrium filix-femina	Wietlica samicza
