Abelmoschus esculentus	Piżmian jadalny
Metasequoia glyptostroboides	Metasekwoja chińska
Metrosideros excelsa	Metrosideros wyniosły
Meum athamanticum	Wszewłoga górska
Micranthemum umbrosum	Mikrantemum okrągłolistne
Microbiota decussata	Mikrobiota syberyjska
Milium effusum	Prosownica rozpierzchła
Millettia japonica	Miletia japońska
Mimosa pudica	Mimoza wstydliwa
Minuartia laricifolia subsp. kitaibelii	Mokrzyca Kitaibela
Minuartia sedoides	Mokrzyca rozchodnikowata
Minuartia setacea	Mokrzyca szczeciolistna
Minuartia viscosa	Mokrzyca lepka
Mirabilis jalapa	Dziwaczek jalapa
Miscanthus giganteus	Miskant olbrzymi
Miscanthus sacchariflorus	Miskant cukrowy
Miscanthus sinensis	Miskant chiński
Misopates orontium	Wyżlin polny
Moehringia trinervia	Możylinek trójnerwowy
Molinia caerulea	Trzęślica modra
Moluccella laevis	Dzwonki irlandzkie
Momordica charantia	Przepękla ogórkowata
Monarda didyma	Pysznogłówka szkarłatna
Moneses uniflora	Gruszycznik jednokwiatowy
Monotropa hypopitys	Korzeniówka pospolita
Monstera adansonii	Monstera Adansona
Monstera deliciosa	Monstera dziurawa
Monstera obliqua	Monstera perforowana
Montia fontana	Zdrojek błyszczący
Morisia monanthos	Moryzja jednokwiatowa
Morus alba	Morwa biała
Morus nigra	Morwa czarna
Mucuna pruriens	Świerzbiec właściwy
Muehlenbeckia complexa	Muehlenbeckia complexa
Muscari armeniacum	Szafirek armeński
Muscari botryoides	Szafirek drobnokwiatowy
Muscari neglectum	Szafirek groniasty
Mutellina purpurea	Marchwica pospolita
Myosotis alpestris	Niezapominajka alpejska
Myosotis arvensis	Niezapominajka polna
Myosotis discolor	Niezapominajka różnobarwna
Myosotis praecox	Niezapominajka wczesna
Myosotis scorpioides	Niezapominajka błotna
Myosotis stenophylla	Niezapominajka smukła
Myosotis sylvatica	Niezapominajka leśna
Myosoton aquaticum	Kościenica wodna
Myosurus minimus	Mysiurek drobny
Myrica gale	Woskownica europejska
Myricaria germanica	Września pobrzeżna
Myriophyllum alterniflorum	Wywłócznik skrętoległy
Myriophyllum aquaticum	Myriophyllum aquaticum
Myriophyllum heterophyllum	Wywłócznik różnolistny
Myriophyllum spicatum	Wywłócznik kłosowy
Myriophyllum verticillatum	Wywłócznik okółkowy
Myrrhis odorata	Marchewnik anyżowy
Myrtus communis	Mirt zwyczajny
Najas flexilis	Jezierza giętka
Najas marina	Jezierza morska
Najas minor	Jezierza mniejsza
Narcissus jonquilla	Narcyz żonkil
Narcissus poeticus	Narcyz biały
Narcissus pseudonarcissus	Narcyz trąbkowy
Narcissus tazetta	Narcyz wielokwiatowy
Nardostachys jatamansi	Nardostachys wielkokwiatowy
Nardus stricta	Bliźniczka psia trawka
Nasturtium microphyllum	Rukiew drobnolistna
Nasturtium officinale	Rukiew wodna
Nelumbo nucifera	Lotos orzechodajny
Neotinea tridentata	Storczyk trójzębny
Neotinea ustulata	Storczyk drobnokwiatowy
Neottia cordata	Gnieźnik sercowaty
Neottia nidus-avis	Gnieźnik leśny
Neottia ovata	Listera jajowata
Neottianthe cucullata	Kukuczka kapturkowata
Nepeta cataria	Kocimiętka właściwa
Nepeta nuda	Kocimiętka naga
Nepeta × faassenii	Kocimiętka Faassena
Nephrolepis exaltata	Nefrolepis wyniosły
Nerium oleander	Oleander pospolity
Neslia paniculata	Ożędka groniasta
Nicandra physalodes	Nikandra miechunkowa
Nicotiana alata	Tytoń oskrzydlony
Nicotiana glauca	Tytoń siny
Nicotiana rustica	Tytoń bakun
Nicotiana sylvestris	Tytoń leśny
Nicotiana tabacum	Tytoń szlachetny
Nigella arvensis	Czarnuszka polna
Nigella damascena	Czarnuszka damasceńska
Nigella hispanica	Czarnuszka hiszpańska
Nigella sativa	Czarnuszka siewna
Nitella capillaris	Nitella capillaris
Nitella flexilis	Krynicznik giętki
Nitella translucens	Krynicznik połyskujący
Nothofagus antarctica	Bukan chilijski
Nothofagus obliqua	Nothofagus obliqua
Notobasis syriaca	Notobasis syryjski
Nuphar lutea	Grążel żółty
Nuphar pumila	Grążel drobny
Nymphaea alba	Grzybienie białe
Nymphaea candida	Grzybienie północne
Nymphaea lotus	Grzybienie egipskie
Nymphoides peltata	Grzybieńczyk wodny
Nyssa sylvatica	Błotnia leśna
Ocimum americanum	Bazylia amerykańska
Ocimum basilicum	Bazylia pospolita
Ocimum basilicum citriodora	Bazylia cytrynowa
Ocimum gratissimum	Bazylia eugenolowa
Ocimum tenuiflorum	Bazylia azjatycka
Odontites luteus	Zagorzałek żółty
Odontites vernus subsp. serotinus	Zagorzałek późny
Oenanthe aquatica	Kropidło wodne
Oenanthe crocata	Kropidło szafranowe
Oenanthe fistulosa	Kropidło piszczałkowate
Oenanthe lachenalii	Kropidło Lachenala
Oenothera biennis	Wiesiołek dwuletni
Oenothera hoelscheri	Wiesiołek Hoelschera
Oenothera macrocarpa	Wiesiołek ozdobny
Olea europaea	Oliwka europejska
Olsynium junceum	Olsynium junceum
Olsynium obscurum	Olsynium obscurum
Olsynium philippii	Olsynium philippii
Omphalodes scorpioides	Ułudka leśna
Omphalodes verna	Ułudka wiosenna
Onobrychis arenaria	Sparceta piaskowa
Nazwa łacińska	Nazwa polska
Onobrychis montana	Sparceta górska
Onobrychis viciifolia	Sparceta siewna
Onoclea sensibilis	Onoklea wrażliwa
Ononis arvensis	Wilżyna bezbronna
Ononis repens	Wilżyna rozłogowa
Ononis spinosa	Wilżyna ciernista
Onopordum acanthium	Popłoch pospolity
Ophioglossum azoricum	Nasięźrzał azorski
Ophioglossum vulgatum	Nasięźrzał pospolity
Ophrys apifera	Dwulistnik pszczeli
Ophrys insectifera	Dwulistnik muszy
Opuntia ficus-indica	Opuncja figowa
Opuntia microdasys	Opuncja drobnokolczasta
Orchis anthropophora	Orchis anthropophora
Orchis italica	Orchis italica
Orchis mascula	Storczyk męski
Orchis militaris	Storczyk kukawka
Orchis pallens	Storczyk blady
Orchis purpurea	Storczyk purpurowy
Orchis simia	Storczyk małpi
Oreochloa disticha	Boimka dwurzędowa
Oreopteris limbosperma	Zaproć górska
Origanum majorana	Lebiodka majeranek
Origanum vulgare	Lebiodka pospolita
Orlaya grandiflora	Orlaja wielkokwiatowa
Ornithogalum boucheanum	Śniedek Buchego
Ornithogalum collinum	Śniedek cienkolistny
Ornithogalum pyrenaicum	Śniedek pirenejski
Ornithogalum umbellatum	Śniedek baldaszkowaty
Ornithopus perpusillus	Seradela drobna
Ornithopus sativus	Seradela pastewna
Orobanche alba	Zaraza macierzankowa
Orobanche alsatica	Zaraza alzacka
Orobanche arenaria	Zaraza piaskowa
Orobanche caryophyllacea	Zaraza przytuliowa
Orobanche coerulescens	Zaraza błękitnawa
Orobanche elatior	Zaraza wielka
Orobanche flava	Zaraza żółta
Orobanche gracilis	Zaraza krwistoczerwona
Orobanche hederae	Zaraza bluszczowa
Orobanche kochii	Orobanche kochii
Orobanche lutea	Zaraza czerwonawa
Orobanche mayeri	Zaraza Mayera
Orobanche minor	Zaraza drobnokwiatowa
Orobanche pallidiflora	Zaraza bladokwiatowa
Orobanche picridis	Zaraza goryczelowa
Orobanche purpurea	Zaraza niebieska
Orobanche ramosa	Zaraza gałęzista
Orontium aquaticum	Orontium wodne
Orthilia secunda	Gruszynka jednostronna
Orthotrichum lyellii	Szurpek porosły
Orthotrichum urnigerum	Szurpek słoikowaty
Oryza sativa	Ryż siewny
Osmanthus fragrans	Wończa pachnąca
Osmunda regalis	Długosz królewski
Ostrya carpinifolia	Chmielograb europejski
Ostrya virginiana	Chmielograb wirginijski
Oxalis acetosella	Szczawik zajęczy
Oxalis corniculata	Szczawik rożkowaty
Oxalis stricta	Szczawik żółty
Oxalis triangularis	Szczawik trójkątny
Oxyria digyna	Szczawiór alpejski
Oxytropis campestris	Ostrołódka polna
Oxytropis carpatica	Ostrołódka karpacka
Oxytropis pilosa	Ostrołódka kosmata
Pachysandra terminalis	Runianka japońska
Pachystachys lutea	Pachystachys lutea
Paeonia delavayi	Piwonia Delavaya
Paeonia lactiflora	Piwonia chińska
Paeonia officinalis	Piwonia lekarska
Paeonia suffruticosa	Piwonia drzewiasta
Paliurus spina-christi	Dwukolczak śródziemnomorski
Pancratium maritimum	Pankracjum nadmorskie
Panicum miliaceum	Proso zwyczajne
Panicum virgatum	Proso rózgowe
Papaver alpinum	Mak alpejski
Papaver argemone	Mak piaskowy
Papaver dubium	Mak wątpliwy
Papaver hybridum	Mak mieszańcowy
Papaver nudicaule	Mak nagołodygowy
Papaver orientale	Mak wschodni
Papaver rhoeas	Mak polny
Papaver somniferum	Mak lekarski
Parietaria officinalis	Parietaria lekarska
Paris quadrifolia	Czworolist pospolity
Parnassia palustris	Dziewięciornik błotny
Paronychia argentea	Paronychia argentea
Parthenocissus inserta	Winobluszcz zaroślowy
Parthenocissus quinquefolia	Winobluszcz pięciolistkowy
Parthenocissus tricuspidata	Winobluszcz trójklapowy
Passiflora caerulea	Męczennica błękitna
Passiflora edulis	Męczennica jadalna
Passiflora incarnata	Męczennica cielista
Passiflora mollissima	Męczennica miękka
Passiflora quadrangularis	Męczennica olbrzymia
Pastinaca sativa	Pasternak zwyczajny
Paullinia cupana	Paulinia guarana
Paulownia tomentosa	Paulownia omszona
Pedicularis exaltata	Gnidosz okazały
Pedicularis hacquetii	Gnidosz Hacqueta
Pedicularis kaufmannii	Gnidosz stepowy
Pedicularis oederi	Gnidosz dwubarwny
Pedicularis palustris	Gnidosz błotny
Pedicularis rostratocapitata	Pedicularis rostratocapitata
Pedicularis sceptrum-carolinum	Gnidosz królewski
Pedicularis sudetica	Gnidosz sudecki
Pedicularis sylvatica	Gnidosz rozesłany
Pedicularis verticillata	Gnidosz okółkowy
Peganum harmala	Poganek rutowaty
Pelargonium graveolens	Pelargonia pachnąca
Pelargonium peltatum	Pelargonia bluszczolistna
Pelargonium zonale	Pelargonia pasiasta
Pennisetum glaucum	Rosplenica perłowa
Pentaglottis sempervirens	Pentaglottis sempervirens
Pereskia aculeata	Pereskia aculeata
Perilla frutescens	Pachnotka bazyliowata
Persea americana	Smaczliwka wdzięczna
Persicaria amphibia	Rdest ziemnowodny
Persicaria bistorta	Rdest wężownik
Persicaria hydropiper	Rdest ostrogorzki
Persicaria maculosa	Rdest plamisty
Persicaria vivipara	Rdest żyworodny
Petasites albus	Lepiężnik biały
Petasites hybridus	Lepiężnik różowy
Petasites japonicus	Lepiężnik japoński
Petasites kablikianus	Lepiężnik wyłysiały
Petasites spurius	Lepiężnik kutnerowaty
Petrocallis pyrenaica	Skalistrój pirenejski
Petrorhagia prolifera	Goździcznik wycięty
Petrorhagia saxifraga	Goździcznik skalnicowy
Petroselinum crispum	Pietruszka zwyczajna
Petunia ×hybrida	Petunia ogrodowa
Peucedanum alsaticum	Gorysz alzacki
Peucedanum officinale	Gorysz lekarski
Peucedanum oreoselinum	Gorysz pagórkowy
Peucedanum ostruthium	Gorysz miarz
Peucedanum palustre	Gorysz błotny
Phacelia tanacetifolia	Facelia błękitna
Phalaris arundinacea	Mozga trzcinowata
Phalaris brachystachys	Mozga krótkokłosa
Phalaris canariensis	Mozga kanaryjska
Phalaris minor	Mozga drobna
Phalaris paradoxa	Mozga osobliwa
Phaseolus coccineus	Fasola wielokwiatowa
Phaseolus vulgaris	Fasola zwykła
Phegopteris connectilis	Zachyłka oszczepowata
Phellodendron amurense	Korkowiec amurski
Philadelphus coronarius	Jaśminowiec wonny
Philadelphus pubescens	Jaśminowiec omszony
Phillyrea latifolia	Filirea szerokolistna
Philonotis caespitosa	Bagniak darniowy
Philonotis tomentella	Bagniak kutnerowaty
Phlebodium aureum	Flebodium złociste
Phleum alpinum	Tymotka alpejska
Phleum pratense	Tymotka łąkowa
Phlox arendsii	Floks Arendsa
Phlox covillei	Floks śnieżny
Phlox divaricata	Floks kanadyjski
Phlox drummondii	Floks Drummonda
Phlox paniculata	Floks wiechowaty
Phlox subulata	Floks szydlasty
Phoenix canariensis	Daktylowiec kanaryjski
Phoenix dactylifera	Daktylowiec właściwy
Phoenix reclinata	Daktylowiec nagięty
Phormium tenax	Tęgosz mocny
Phragmites australis	Trzcina pospolita
Phuopsis stylosa	Kozłówka długoszyjkowa
Phyllanthus emblica	Liściokwiat garbnikowy
Phyllitis scolopendrium	Języcznik zwyczajny
Phyllostachys atrovaginata	Filostachys ciemnopochwowy
Phyllostachys aureosulcata	Filostachys złotobruzdowy
Phyllostachys bissetii	Filostachys Bisseta
Phyllostachys humilis	Filostachys niski
Phyllostachys nuda	Filostachys nagi
Phyllostachys parvifolia	Filostachys drobnolistny
Physalis alkekengi	Miechunka rozdęta
Physalis ixocarpa	Miechunka pomidorowa
Physalis peruviana	Miechunka peruwiańska
Physocarpus opulifolius	Pęcherznica kalinolistna
Physoplexis comosa	Physoplexis comosa
Phyteuma orbiculare	Zerwa kulista
Phyteuma spicatum	Zerwa kłosowa
Phytolacca americana	Szkarłatka amerykańska
Picea abies	Świerk pospolity
Picea breweriana	Świerk Brewera
Picea glauca	Świerk biały
Picea mariana	Świerk czarny
Picea omorika	Świerk serbski
Picea orientalis	Świerk kaukaski
Picea pungens	Świerk kłujący
Picea rubens	Świerk czerwony
Picea sitchensis	Świerk sitkajski
Picris hieracioides	Goryczel jastrzębcowaty
Pieris floribunda	Pieris kwiecisty
Pieris japonica	Pieris japoński
Pilosella auriculoides	Jastrzębiec ciepłolubny
Pilosella caespitosa	Jastrzębiec łąkowy
Pilularia globulifera	Gałuszka kulecznica
Pimpinella anisum	Biedrzeniec anyż
Pimpinella major	Biedrzeniec wielki
Pimpinella saxifraga	Biedrzeniec mniejszy
Pinguicula alpina	Tłustosz alpejski
Pinguicula leptoceras	Pinguicula leptoceras
Pinguicula vulgaris	Tłustosz pospolity
Pinus albicaulis	Pinus albicaulis
Pinus aristata	Sosna oścista
Pinus armandii	Sosna Armanda
Pinus attenuata	Sosna sękata
Pinus balfouriana	Pinus balfouriana
Pinus banksiana	Sosna Banksa
Pinus brutia	Sosna kalabryjska
Pinus bungeana	Sosna plamistokora
Pinus canariensis	Sosna kanaryjska
Pinus caribaea	Sosna karaibska
Pinus cembra	Sosna limba
Pinus cembroides	Pinus cembroides
Pinus contorta	Sosna wydmowa
Pinus coulteri	Sosna Coultera
Pinus densiflora	Sosna gęstokwiatowa
Pinus devoniana	Pinus devoniana
Pinus echinata	Pinus echinata
Pinus edulis	Pinus edulis
Pinus elliottii	Sosna Elliotta
Pinus engelmannii	Pinus engelmannii
Pinus flexilis	Sosna giętka
Pinus gerardiana	Sosna Gerarda
Pinus halepensis	Sosna alepska
Pinus hartwegii	Pinus hartwegii
Pinus heldreichii	Sosna bośniacka
Pinus jeffreyi	Sosna Jeffreya
Pinus lambertiana	Sosna Lamberta
Pinus maximartinezii	Pinus maximartinezii
Pinus monophylla	Sosna jednoigielna
Pinus mugo	Kosodrzewina
Pinus muricata	Pinus muricata
Pinus nigra	Sosna czarna
Pinus parviflora	Sosna drobnokwiatowa
Pinus patula	Pinus patula
Pinus peuce	Sosna rumelijska
Pinus pinaster	Sosna nadmorska
Pinus pinea	Sosna pinia
Pinus ponderosa	Sosna żółta
Pinus pungens	Sosna kłująca
Pinus radiata	Sosna kalifornijska
Pinus resinosa	Sosna czerwona
Pinus rigida	Sosna smołowa
Pinus roxburghii	Pinus roxburghii
Pinus sabiniana	Pinus sabiniana
Pinus serotina	Pinus serotina
Pinus sibirica	Sosna syberyjska
Pinus strobiformis	Pinus strobiformis
Pinus strobus	Sosna wejmutka
Pinus sylvestris	Sosna zwyczajna
Pinus tabuliformis	Sosna chińska
Pinus taeda	Sosna taeda
Pinus thunbergii	Sosna Thunberga
Pinus uncinata	Sosna hakowata
Pinus wallichiana	Sosna himalajska
Piper methysticum	Pieprz metystynowy
Piper nigrum	Pieprz czarny
Pistacia atlantica	Pistacja atlantycka
Pistacia lentiscus	Pistacja kleista
Pistacia terebinthus	Pistacja terpentynowa
Pistacia vera	Pistacja właściwa
Pistia stratiotes	Pistia rozetkowa
Pisum sativum	Groch zwyczajny
Pittosporum tobira	Pittosporum tobira
Plantago afra	Babka płesznik
Plantago atrata	Babka górska
Plantago coronopus	Babka pierzasta
Plantago lanceolata	Babka lancetowata
Plantago major	Babka zwyczajna
Plantago maritima	Babka nadmorska
Plantago media	Babka średnia
Platanthera bifolia	Podkolan biały
Platanthera chlorantha	Podkolan zielonawy
Platanus acerifolia	Platan klonolistny
Platanus occidentalis	Platan zachodni
Platanus orientalis	Platan wschodni
Platycladus orientalis	Biota wschodnia
Platycodon grandiflorus	Rozwar wielkokwiatowy
Pleurochaete squarrosa	Boczeń nastroszony
Pleurospermum austriacum	Żebrowiec górski
Pleurozium schreberi	Rokietnik pospolity
Plumbago auriculata	Ołownik uszkowaty
Plumeria alba	Plumeria biała
Poa alpina	Wiechlina alpejska
Poa annua	Wiechlina roczna
Poa bulbosa	Wiechlina cebulkowata
Poa compressa	Wiechlina spłaszczona
Poa glauca	Wiechlina sina
Poa granitica	Wiechlina granitowa
Poa laxa	Wiechlina wiotka
Poa nemoralis	Wiechlina gajowa
Poa palustris	Wiechlina błotna
Poa pratensis	Wiechlina łąkowa
Poa stiriaca	Wiechlina styryjska
Poa trivialis	Wiechlina zwyczajna
Poa variegata	Wiechlina fioletowa
Pogostemon cablin	Brodziec paczulka
Polemonium caeruleum	Wielosił błękitny
Polycnemum arvense	Chrząstkowiec polny
Polygala amara	Krzyżownica gorzka
Polygala comosa	Krzyżownica czubata
Polygala vulgaris	Krzyżownica zwyczajna
Polygonatum multiflorum	Kokoryczka wielokwiatowa
Polygonatum odoratum	Kokoryczka wonna
Polygonatum verticillatum	Kokoryczka okółkowa
Polygonum aviculare	Rdest ptasi
Polygonum equisetiforme	Polygonum equisetiforme
Polygonum maritimum	Polygonum maritimum
Polygonum oxyspermum	Rdest nadbrzeżny
Polypodium interjectum	Paprotka przejściowa
Polypodium vulgare	Paprotka zwyczajna
Polystichum aculeatum	Paprotnik kolczysty
Polystichum braunii	Paprotnik Brauna
Polystichum lonchitis	Paprotnik ostry
Polystichum munitum	Paprotnik zbrojny
Polytrichum commune	Płonnik pospolity
Polytrichum piliferum	Płonnik włosisty
Poncirus trifoliata	Poncyria trójlistkowa
Pontechium maculatum	Żmijowiec czerwony
Populus alba	Topola biała
Populus balsamifera	Topola balsamiczna
Populus berolinensis	Topola berlińska
Populus canadensis	Topola kanadyjska
Populus canescens	Topola szara
Populus lasiocarpa	Topola wielkolistna
Populus nigra	Topola czarna
Populus simonii	Topola chińska
Populus tremula	Topola osika
Populus trichocarpa	Topola kalifornijska
Portulaca grandiflora	Portulaka wielkokwiatowa
Portulaca oleracea	Portulaka pospolita
Potamogeton acutifolius	Rdestnica ostrolistna
Potamogeton alpinus	Rdestnica alpejska
Potamogeton berchtoldii	Rdestnica Berchtolda
Potamogeton coloratus	Rdestnica zabarwiona
Potamogeton compressus	Rdestnica ściśniona
Potamogeton crispus	Rdestnica kędzierzawa
Potamogeton friesii	Rdestnica szczeciolistna
Potamogeton gramineus	Rdestnica trawiasta
Potamogeton lucens	Rdestnica połyskująca
Potamogeton natans	Rdestnica pływająca
Potamogeton nodosus	Rdestnica nawodna
Potamogeton obtusifolius	Rdestnica stępiona
Potamogeton perfoliatus	Rdestnica przeszyta
Potamogeton polygonifolius	Rdestnica podługowata
Potamogeton praelongus	Rdestnica wydłużona
Potamogeton pusillus	Rdestnica drobna
Potamogeton rutilus	Rdestnica błyszcząca
Potamogeton trichoides	Rdestnica włosowata
Potentilla alba	Pięciornik biały
Potentilla anserina	Pięciornik gęsi
Potentilla argentea	Pięciornik srebrny
Potentilla aurea	Pięciornik złoty
Potentilla crantzii	Pięciornik alpejski
Potentilla erecta	Pięciornik kurze ziele
Potentilla inclinata	Pięciornik siwy
Potentilla indica	Potentilla indica
Potentilla micrantha	Pięciornik drobny
Potentilla neumanniana	Pięciornik wiosenny
Potentilla norvegica	Pięciornik norweski
Potentilla recta	Pięciornik wyprostowany
Potentilla reptans	Pięciornik rozłogowy
Potentilla rupestris	Pięciornik skalny
Potentilla silesiaca	Pięciornik śląski
Potentilla sterilis	Pięciornik płonny
Potentilla supina	Pięciornik niski
Prenanthes purpurea	Przenęt purpurowy
Primula auricula	Pierwiosnek łyszczak
Primula elatior	Pierwiosnek wyniosły
Primula farinosa	Pierwiosnek omączony
Primula glutinosa	Pierwiosnek lepki
Primula halleri	Pierwiosnek Hallera
Primula integrifolia	Primula integrifolia
Primula japonica	Pierwiosnek japoński
Primula matthioli	Zarzyczka górska
Primula meadia	Bożykwiat Meada
Primula minima	Pierwiosnek maleńki
Primula palinuri	Primula palinuri
Primula sieboldii	Pierwiosnek Siebolda
Primula veris	Pierwiosnek lekarski
Primula vulgaris	Pierwiosnek bezłodygowy
Prinsepia jednokwiatowa	Prinsepia jednokwiatowa
Protea cynaroides	Protea królewska
Prunella grandiflora	Głowienka wielkokwiatowa
Prunella laciniata	Głowienka kremowa
Prunella vulgaris	Głowienka pospolita
Prunus americana	Śliwa amerykańska
Prunus armeniaca	Morela pospolita
Prunus avium	Wiśnia ptasia
Prunus cerasifera	Śliwa wiśniowa
Prunus cerasus	Wiśnia pospolita
Prunus domestica	Śliwa domowa
Prunus domestica L. subsp. syriaca	Śliwa domowa mirabelka
Prunus dulcis	Migdałowiec pospolity
Prunus fruticosa	Wiśnia karłowata
Prunus laurocerasus	Laurowiśnia wschodnia
Prunus mahaleb	Wiśnia wonna
Prunus mume	Morela japońska
Prunus padus	Czeremcha zwyczajna
Prunus padus subsp. borealis	Czeremcha skalna
Prunus persica	Brzoskwinia zwyczajna
Prunus serotina	Czeremcha amerykańska
Prunus serrulata	Wiśnia piłkowana
Prunus spinosa	Śliwa tarnina
Prunus subhirtella	Wiśnia różowa
Prunus triloba	Migdałowiec trójklapowy
Prunus virginiana	Czeremcha wirginijska
Pseudocalliergon trifarium	Bagiennik żmijowaty
Pseudolarix amabilis	Modrzewnik chiński
Pseudorchis albida	Gołek białawy
Pseudotsuga menziesii	Daglezja zielona
Ptelea trifoliata	Parczelina trójlistkowa
Pteridium aquilinum	Orlica pospolita
Pteris cretica	Orliczka kreteńska
Pterocarya fraxinifolia	Skrzydłorzech kaukaski
Pterocarya rhoifolia	Skrzydłorzech japoński
Pterocarya stenoptera	Pterocarya stenoptera
Ptilium crista-castrensis	Piórosz pierzasty
Puccinellia maritima	Mannica nadmorska
Pulicaria dysenterica	Płesznik czerwonkowy
Pulicaria vulgaris	Płesznik zwyczajny
Pulmonaria affinis	Pulmonaria affinis
Pulmonaria angustifolia	Miodunka wąskolistna
Pulmonaria filarszkyana	Miodunka węgierska
Pulmonaria longifolia	Miodunka długolistna
Pulmonaria mollis	Miodunka miękkowłosa
Pulmonaria montana	Pulmonaria montana
Pulmonaria obscura	Miodunka ćma
Pulmonaria officinalis	Miodunka plamista
Pulmonaria rubra	Miodunka czerwona
Pulmonaria saccharata	Miodunka pstra
Pulsatilla pratensis	Sasanka łąkowa
Punica granatum	Granat właściwy
Puschkinia scilloides	Puszkinia cebulicowata
Pyracantha coccinea	Ognik szkarłatny
Pyrola carpatica	Gruszyczka karpacka
Pyrola chlorantha	Gruszyczka zielonawa
Pyrola media	Gruszyczka średnia
Pyrola minor	Gruszyczka mniejsza
Pyrola rotundifolia	Gruszyczka okrągłolistna
Pyrus calleryana	Grusza drobnoowocowa
Pyrus communis	Grusza pospolita
Pyrus nivalis	Grusza śnieżna
Pyrus pyrifolia	Grusza chińska
Pyrus salicifolia	Grusza wierzbolistna
Quercus alba	Dąb biały
Quercus alnifolia	Dąb olcholistny
Quercus bicolor	Dąb dwubarwny
Quercus canariensis	Dąb algierski
Quercus castaneifolia	Dąb kasztanolistny
Quercus cerris	Dąb burgundzki
Quercus coccifera	Dąb skalny
Quercus coccinea	Dąb szkarłatny
Quercus faginea	Dąb portugalski
Quercus frainetto	Dąb węgierski
Quercus ilex	Dąb ostrolistny
Quercus ilicifolia	Quercus ilicifolia
Quercus imbricaria	Dąb dachówkowaty
Quercus ithaburensis	Dąb tabor
Quercus libani	Quercus libani
Quercus lusitanica	Dąb galasowy
Quercus nigra	Dąb wodny
Quercus palustris	Dąb błotny
Quercus petraea	Dąb bezszypułkowy
Quercus pubescens	Dąb omszony
Quercus pyrenaica	Quercus pyrenaica
Quercus robur	Dąb szypułkowy
Quercus rubra	Dąb czerwony
Quercus suber	Dąb korkowy
Quercus trojana	Dąb macedoński
Quercus velutina	Dąb barwierski
Radiola linoides	Lenek stoziarn
Ranunculus aconitifolius	Jaskier tojadolistny
Ranunculus acris	Jaskier ostry
Ranunculus aduncus	Ranunculus aduncus
Ranunculus alpestris	Jaskier alpejski
Ranunculus amplexicaulis	Ranunculus amplexicaulis
Ranunculus aquatilis	Włosienicznik wodny
Ranunculus arvensis	Jaskier polny
Ranunculus asiaticus	Jaskier azjatycki
Ranunculus auricomus	Jaskier różnolistny
Ranunculus bilobus	Ranunculus bilobus
Ranunculus bulbosus	Jaskier bulwkowy
Ranunculus bullatus	Ranunculus bullatus
Ranunculus carinthiacus	Ranunculus carinthiacus
Ranunculus cassubicus	Jaskier kaszubski
Ranunculus circinatus	Jaskier krążkolistny
Ranunculus cordiger	Ranunculus cordiger
Ranunculus cortusifolius	Ranunculus cortusifolius
Ranunculus demissus	Ranunculus demissus
Ranunculus flammula	Jaskier płomiennik
Ranunculus fluitans	Włosienicznik rzeczny
Ranunculus gramineus	Jaskier trawiasty
Ranunculus grenierianus	Ranunculus grenierianus
Ranunculus hederaceus	Jaskier bluszczolistny
Ranunculus hybridus	Ranunculus hybridus
Ranunculus illyricus	Jaskier iliryjski
Ranunculus kuepferi	Ranunculus kuepferi
Ranunculus lanuginosus	Jaskier kosmaty
Ranunculus lateriflorus	Ranunculus lateriflorus
Ranunculus lingua	Jaskier wielki
Ranunculus macrophyllus	Ranunculus macrophyllus
Ranunculus marschlinsii	Ranunculus marschlinsii
Ranunculus millefoliatus	Ranunculus millefoliatus
Ranunculus monspeliacus	Ranunculus monspeliacus
Ranunculus montanus	Jaskier górski
Ranunculus muricatus	Ranunculus muricatus
Ranunculus ololeucos	Ranunculus ololeucos
Ranunculus omiophyllus	Ranunculus omiophyllus
Ranunculus ophioglossifolius	Ranunculus ophioglossifolius
Ranunculus oreophilus	Jaskier skalny
Ranunculus paludosus	Ranunculus paludosus
Ranunculus parnassifolius	Ranunculus parnassifolius
Ranunculus parviflorus	Ranunculus parviflorus
Ranunculus peltatus	Jaskier tarczowaty
Ranunculus peltatus subsp. baudotii	Włosienicznik Baudota
Ranunculus platanifolius	Jaskier platanolistny
Ranunculus polyanthemos	Jaskier wielokwiatowy
Ranunculus pseudomontanus	Jaskier halny
Ranunculus pygmaeus	Jaskier karłowaty
Ranunculus pyrenaeus	Ranunculus pyrenaeus
Ranunculus repens	Jaskier rozłogowy
Ranunculus reptans	Jaskier leżący
Ranunculus sardous	Jaskier sardyński
Ranunculus sceleratus	Jaskier jadowity
Ranunculus seguieri	Ranunculus seguieri
Ranunculus serpens	Jaskier gajowy
Ranunculus thora	Jaskier okrągłolistny
Ranunculus trichophyllus	Włosienicznik skąpopręcikowy
Ranunculus trilobus	Ranunculus trilobus
Ranunculus tripartitus	Ranunculus tripartitus
Ranunculus velutinus	Ranunculus velutinus
Raphanus raphanistrum	Rzodkiew świrzepa
Raphanus sativus	Rzodkiew zwyczajna
Rauwolfia serpentina	Rauwolfia żmijowa
Reichardia tingitana	Reichardia tingitana
Reseda lutea	Rezeda żółta
Reseda luteola	Rezeda żółtawa
Reseda odorata	Rezeda wonna
Reseda phyteuma	Rezeda mała
Reynoutria japonica	Rdestowiec ostrokończysty
Reynoutria sachalinensis	Rdestowiec sachaliński
